drug,n,rate,cluster,cluster_resid
FLUTICASONE-SALMETEROL DISKUS (250/50),10459.0,0.1258246486279759,0,3
LATANOPROST 0.005% OPHTH. SOLN.,5769.0,0.1029641185647426,2,2
RANITIDINE,5367.0,0.06670393143283027,0,3
DILTIAZEM EXTENDED-RELEASE,2476.0,0.06381260096930533,0,3
HYDROCHLOROTHIAZIDE,4125.0,0.08824242424242425,0,3
ISOSORBIDE MONONITRATE (EXTENDED RELEASE),4391.0,0.05739011614666363,0,3
MULTIVITAMINS W/MINERALS,25690.0,0.07633320358115998,0,3
TIOTROPIUM BROMIDE,7805.0,0.12953235105701474,0,3
IPRATROPIUM BROMIDE MDI,17929.0,0.07395839143287411,0,3
CEFEPIME,27403.0,0.024595847170017882,1,0
CHLORHEXIDINE GLUCONATE 0.12% ORAL RINSE,18060.0,0.09629014396456256,2,2
FERROUS SULFATE,8088.0,0.06392185954500494,0,3
SULFAMETH/TRIMETHOPRIM SS,8201.0,0.03962931349835386,0,3
VANCOMYCIN,36980.0,0.0671984856679286,2,2
PROPOFOL,4072.0,0.025294695481335953,1,0
LANSOPRAZOLE ORAL DISINTEGRATING TAB,10210.0,0.06875612144955925,2,2
FENTANYL CITRATE,14495.0,0.008830631252155916,1,0
MAGNESIUM SULFATE,17512.0,0.01638876199177707,2,2
PREDNISONE,21914.0,0.03217121474856256,1,3
APIXABAN,29516.0,0.021208835885621356,1,0
DILTIAZEM,8265.0,0.09134906231094979,3,1
IPRATROPIUM-ALBUTEROL NEB,51582.0,0.1502655965259199,2,2
FUROSEMIDE,49189.0,0.033279798328894675,2,2
SODIUM CHLORIDE NASAL,4206.0,0.25582501188777934,3,1
POTASSIUM CHLORIDE,29637.0,0.05955393595843034,3,1
PROMETHAZINE,2214.0,0.02077687443541102,0,3
GABAPENTIN,80643.0,0.05990600548094689,0,3
FAMOTIDINE,41128.0,0.03484244310445438,1,0
CARVEDILOL,21497.0,0.0677768991022003,0,3
FLUTICASONE PROPIONATE 110MCG,12109.0,0.14501610372450244,2,2
ASPIRIN EC,6575.0,0.08212927756653993,0,3
METOPROLOL SUCCINATE XL,23194.0,0.07752004828835043,0,3
NAFCILLIN,2146.0,0.035414725069897485,2,2
MONTELUKAST,4653.0,0.04663657855147217,0,0
VITAMIN D,28177.0,0.05607410299180182,0,3
METRONIDAZOLE,32701.0,0.028622977890584385,1,0
TRAZODONE,13381.0,0.04655855317240864,3,1
BENZONATATE,12045.0,0.08999584889995849,0,1
GUAIFENESIN,10673.0,0.13969830413192166,3,1
BISACODYL,16990.0,0.3492054149499706,3,1
OXYCODONE SR (OXYCONTIN),8362.0,0.04950968667782827,0,3
THIAMINE,28695.0,0.050914793518034504,0,3
SUCRALFATE,14579.0,0.13505727416146512,0,3
WARFARIN,10281.0,0.023635833090166328,2,2
TRAMADOL,12523.0,0.01892517767308153,1,2
CALCIUM CARBONATE,20621.0,0.09790989767712525,0,1
CYANOCOBALAMIN,10808.0,0.05357142857142857,0,3
SERTRALINE,12102.0,0.05304908279623203,0,3
IBUPROFEN,12476.0,0.04512664315485733,3,1
DEXAMETHASONE,16079.0,0.029914795696249767,2,2
LISINOPRIL,18155.0,0.07711374277058662,0,3
TAMSULOSIN,16804.0,0.05712925493930017,3,1
POLYETHYLENE GLYCOL,54998.0,0.4193970689843267,3,1
ROSUVASTATIN CALCIUM,7152.0,0.03565436241610738,0,3
TORSEMIDE,11197.0,0.056086451728141466,0,0
ARTIFICIAL TEARS,6724.0,0.14886972040452112,3,1
CAPTOPRIL,2825.0,0.09380530973451327,3,1
VANCOMYCIN ORAL LIQUID,15053.0,0.0530126885006311,3,3
ENOXAPARIN (PROPHYLAXIS),22248.0,0.08585041352031643,2,2
AMLODIPINE,28343.0,0.05366404403203613,0,3
MAGNESIUM OXIDE,20621.0,0.041462586683478006,1,3
HYDRALAZINE,25264.0,0.08292431918936036,1,0
SEVELAMER CARBONATE,23071.0,0.292835161024663,0,3
RAMELTEON,22075.0,0.057078142695356736,3,1
DICLOFENAC TOPICAL GEL 1%,3769.0,0.43539400371451314,2,0
VITAMIN D3 (CHOLECALCIFEROL),8369.0,0.04098458597203967,0,0
LOPERAMIDE,7863.0,0.08724405443215058,3,1
DIPHENHYDRAMINE,8380.0,0.047016706443914084,3,1
FERRIC GLUCONATE,2413.0,0.060505594695399914,3,1
BUPROPION XL (ONCE DAILY),2889.0,0.03911388023537556,1,0
ARIPIPRAZOLE,2489.0,0.061470470068300524,0,0
CLONAZEPAM,10648.0,0.04423365890308039,2,2
FLUTICASONE-SALMETEROL DISKUS (500/50),3562.0,0.12296462661426165,0,3
SIMVASTATIN,6509.0,0.04178829313258565,0,3
NICOTINE PATCH,7799.0,0.2016925246826516,2,2
POTASSIUM CHLORIDE REPLACEMENT (CRITICAL CARE AND ONCOLOGY),5775.0,0.10251082251082251,2,2
NYSTATIN ORAL SUSPENSION,20023.0,0.15537132297857464,3,1
LIDOCAINE 1%,2499.0,0.2036814725890356,1,0
SCOPOLAMINE PATCH,3391.0,0.0230020642878207,3,1
HALOPERIDOL,10445.0,0.054763044518908566,1,0
CALCIUM GLUCONATE,2497.0,0.010012014417300761,2,2
INFLUENZA VACCINE QUADRIVALENT,7761.0,0.8612292230382682,0,0
AMPICILLIN,3269.0,0.026307739369837872,2,2
QUETIAPINE FUMARATE,15225.0,0.07238095238095238,3,3
ACYCLOVIR,50577.0,0.020819740198113768,1,0
LABETALOL,15950.0,0.0844514106583072,3,1
ACETAMINOPHEN (LIQUID),7529.0,0.08912206136273078,2,2
CIPROFLOXACIN,2373.0,0.04593341761483354,1,0
MICONAZOLE POWDER 2%,4686.0,0.18672641912078533,2,2
DOCUSATE SODIUM (LIQUID),3685.0,0.39104477611940297,1,2
ESCITALOPRAM OXALATE,5907.0,0.047232097511427124,1,0
FLUCONAZOLE,5719.0,0.030949466689980765,0,3
ZINC SULFATE,2476.0,0.06058158319870759,0,3
PHENYLEPHRINE,3247.0,0.09547274407145057,1,0
DIAZEPAM,7599.0,0.026319252533228057,1,1
RIVAROXABAN,2873.0,0.03445875391576749,1,0
DIGOXIN,2460.0,0.03780487804878049,1,0
SPIRONOLACTONE,12127.0,0.04576564690360353,0,3
ALLOPURINOL,15487.0,0.03790275715115904,0,0
AMPICILLIN-SULBACTAM,7067.0,0.027451535304938445,1,2
AZITHROMYCIN,4899.0,0.03449683608899776,3,0
NOREPINEPHRINE,2036.0,0.09037328094302555,3,1
EPOPROSTENOL (VELETRI),3161.0,0.03385004745333755,3,1
LAMOTRIGINE,5516.0,0.03770848440899202,2,2
ZOLPIDEM TARTRATE,2040.0,0.052450980392156864,3,1
OLANZAPINE,7828.0,0.06668369954011241,0,3
FLUOXETINE,6185.0,0.04737267582861762,0,3
LEVETIRACETAM,25568.0,0.026869524405506884,1,0
CEPACOL (SORE THROAT LOZENGE),2697.0,0.027437893956247683,3,1
SIMETHICONE,10847.0,0.06923573338250208,3,1
OLANZAPINE (DISINTEGRATING TABLET),3727.0,0.0649315803595385,3,1
PIPERACILLIN-TAZOBACTAM,16940.0,0.03606847697756789,2,2
MAGNESIUM SULFATE REPLACEMENT (CRITICAL CARE AND ONCOLOGY),9612.0,0.01019558884727424,2,2
ATOVAQUONE SUSPENSION,9331.0,0.059693494802272,3,1
SULFAMETH/TRIMETHOPRIM DS,2986.0,0.029805760214333555,2,2
FOLIC ACID,31225.0,0.04701361088871097,0,3
SODIUM CHLORIDE,3590.0,0.06657381615598885,1,3
METRONIDAZOLE (FLAGYL),2489.0,0.0441944556046605,1,0
GUAIFENESIN ER,4678.0,0.09576742197520308,0,3
CITALOPRAM,7160.0,0.04706703910614525,1,0
MUPIROCIN OINTMENT 2%,3826.0,0.15002613695765812,2,2
HEPARIN DWELL (1000 UNITS/ML),25164.0,0.009219519949133684,1,0
OXYCODONE LIQUID,7124.0,0.02737226277372263,3,1
LACTULOSE,55881.0,0.3526064315241316,3,1
CYCLOSPORINE (NEORAL) MODIFIED,2895.0,0.028670120898100174,3,1
MYCOPHENOLATE MOFETIL,10074.0,0.047349612864800474,0,3
MEROPENEM,14742.0,0.02306335639668973,1,0
ALBUMIN 25% (12.5G / 50ML),2264.0,0.04770318021201413,0,0
GLUTAMINE,5826.0,0.6024716786817713,0,0
PHOSPHORUS,6903.0,0.11299435028248588,3,1
LEVOFLOXACIN,4175.0,0.03688622754491018,0,0
ASCORBIC ACID,8445.0,0.06228537596210776,3,1
ATENOLOL,3155.0,0.09413629160063391,0,3
DOXYCYCLINE HYCLATE,4665.0,0.034941050375133974,2,3
SARNA LOTION,3034.0,0.24192485168094924,2,2
MORPHINE SULFATE IR,2297.0,0.01697866782760122,0,0
CREON 12,7881.0,0.26811318360614134,0,3
DULOXETINE DR,6354.0,0.06484104501101669,0,3
BUMETANIDE,2071.0,0.04732013520038629,2,2
DEXTROSE 50%,3259.0,0.022706351641607857,2,2
CALCITRIOL,3555.0,0.07623066104078763,0,3
HYDROXYZINE,6500.0,0.02646153846153846,3,1
PHENAZOPYRIDINE,3202.0,0.019987507807620236,3,1
INFLUENZA VACCINE HIGH-DOSE QUADRIVALENT,2877.0,0.8762599930483143,1,0
MORPHINE SR (MS CONTIN),4168.0,0.038627639155470246,3,1
CIPROFLOXACIN HCL,8181.0,0.025424764698692093,1,0
MIDODRINE,24865.0,0.07214960788256586,3,3
RIFAXIMIN,22587.0,0.03262938858635498,0,3
SODIUM BICARBONATE,17336.0,0.060971389017074294,0,2
VENLAFAXINE XR,3835.0,0.0485006518904824,0,3
PROCHLORPERAZINE,5130.0,0.03742690058479532,3,1
FILGRASTIM-SNDZ,2496.0,0.04126602564102564,1,0
ENOXAPARIN (TREATMENT),5873.0,0.03320279243997957,2,2
TOPIRAMATE (TOPAMAX),2937.0,0.055839291794347976,0,3
MYCOPHENOLATE SODIUM DR,5543.0,0.013530579108785856,1,0
TACROLIMUS,19019.0,0.02834008097165992,1,0
OCTREOTIDE ACETATE,4780.0,0.04288702928870293,0,2
NEOMYCIN-POLYMYXIN-BACITRACIN,3039.0,0.42020401447844685,3,1
PREDNISOLONE ACETATE 1% OPHTH. SUSP.,4781.0,0.10813637314369379,3,1
POSACONAZOLE DELAYED RELEASE TABLET,4323.0,0.023826046726810084,0,0
CLONIDINE,7588.0,0.07432788613600422,0,3
BUSPIRONE,5492.0,0.04333576110706482,1,0
METHADONE,6503.0,0.03890512071351684,0,3
TIZANIDINE,2466.0,0.047850770478507706,1,0
PROPRANOLOL,2873.0,0.10024364775495997,0,3
CYCLOBENZAPRINE,3694.0,0.021115322144017325,3,1
ISOSORBIDE DINITRATE,6663.0,0.08524688578718295,2,1
ARTIFICIAL TEAR OINTMENT,3171.0,0.20782087669504887,2,2
PHYTONADIONE,3181.0,0.055014146494812954,1,0
EPOETIN ALFA,3967.0,0.03629947063271994,2,2
DAPTOMYCIN,2414.0,0.06255178127589064,0,3
MIRTAZAPINE,8122.0,0.06562423048510219,3,1
DIVALPROEX (DELAYED RELEASE),3318.0,0.054249547920433995,0,3
NICOTINE POLACRILEX,2586.0,0.0019334880123743233,1,0
BENZTROPINE MESYLATE,2397.0,0.06466416353775553,0,3
CETIRIZINE,4240.0,0.08254716981132075,2,2
LACOSAMIDE,3652.0,0.03313253012048193,0,3
ACETYLCYSTEINE 20%,8061.0,0.11226894926187818,2,2
ONDANSETRON ODT,2460.0,0.046747967479674794,3,1
EPOETIN ALFA-EPBX (RETACRIT),4609.0,0.024300282056845302,2,2
CAPHOSOL,13618.0,0.1589073285357615,1,0
CLOTRIMAZOLE,4882.0,0.2677181482998771,0,0
URSODIOL,16705.0,0.039868302903322356,3,3
SODIUM FLUORIDE 1.1% (DENTAL GEL),3367.0,0.17374517374517376,3,1
BRIMONIDINE TARTRATE 0.15% OPHTH.,5027.0,0.09846827133479212,0,3
DORZOLAMIDE 2%/TIMOLOL 0.5% OPHTH.,3718.0,0.0656266810112964,2,2
RISPERIDONE,3844.0,0.09183142559833507,0,3
LORATADINE,3692.0,0.059588299024918745,0,3
ALBUMIN 25%,2016.0,0.05704365079365079,0,3
PRAVASTATIN,4730.0,0.03572938689217759,0,3
FLUTICASONE-SALMETEROL DISKUS (100/50),3050.0,0.14950819672131146,0,3
BUPROPION (SUSTAINED RELEASE),3245.0,0.05177195685670262,0,3
GUAIFENESIN-DEXTROMETHORPHAN,2719.0,0.058109599117322545,3,1
HEPARIN (HEMODIALYSIS),3355.0,0.19970193740685543,0,3
CALCIUM ACETATE,3449.0,0.2942881994781096,0,3
NEPHROCAPS,4865.0,0.11963001027749229,0,3
CIPROFLOXACIN 0.3% OPHTH SOLN,4135.0,0.022732769044740024,1,0
CYCLOPENTOLATE 1%,3188.0,0.008155583437892095,1,0
FINASTERIDE,5940.0,0.06632996632996634,0,3
ERYTHROMYCIN 0.5% OPHTH OINT,4582.0,0.2062418158009603,2,2
MULTIVITAMINS W/MINERALS CHEWABLE,2868.0,0.08193863319386332,3,1
VALSARTAN,2077.0,0.07992296581608088,0,3
ARTIFICIAL TEARS GEL 1%,6698.0,0.20827112570916692,2,2
BUDESONIDE,4940.0,0.08805668016194332,0,3
CARBIDOPA-LEVODOPA (25-100),5535.0,0.05835591689250226,3,1
METFORMIN (GLUCOPHAGE),3928.0,0.06186354378818737,3,2
DRONABINOL,2178.0,0.1258034894398531,0,3
SODIUM CHLORIDE 3% INHALATION SOLN,5603.0,0.23130465821881135,2,2
ALPRAZOLAM,2680.0,0.024626865671641792,3,1
ARTIFICIAL TEARS PRESERV. FREE,4012.0,0.17273180458624127,3,1
EZETIMIBE,2055.0,0.0535279805352798,2,2
MOUTH CARE ORAL RINSE,2222.0,0.30198019801980197,2,2
OXCARBAZEPINE,2154.0,0.04781801299907149,0,3
LINEZOLID,2645.0,0.03780718336483932,2,2
BACLOFEN,6742.0,0.05754968851972708,1,0
OXYBUTYNIN,2911.0,0.04534524218481621,0,3
CEFPODOXIME PROXETIL,2100.0,0.02,1,0
CEPHALEXIN,2893.0,0.028689941237469756,2,2
HYDROCORTISONE NA SUCC.,2558.0,0.03831118060985145,2,2
DOXERCALCIFEROL,2024.0,0.3211462450592885,2,2
NIMODIPINE,2659.0,0.026325686348251224,2,2
VALGANCICLOVIR,2930.0,0.05187713310580205,0,3
NYSTATIN,2578.0,0.19588828549262993,1,0
TIMOLOL MALEATE 0.5%,2725.0,0.08697247706422018,2,2
VALPROIC ACID,2842.0,0.05137227304714989,0,3
DICYCLOMINE,2643.0,0.10669693530079455,2,3
LEUCOVORIN CALCIUM,2756.0,0.3164005805515239,2,2
SILDENAFIL,2297.0,0.024379625598606878,1,2
