drug,n,rate,cluster,cluster_resid
RAMELTEON,22075.0,0.057078142695356736,2,3
DICLOFENAC TOPICAL GEL 1%,3769.0,0.43539400371451314,0,1
VITAMIN D3 (CHOLECALCIFEROL),8369.0,0.04098458597203967,1,0
LOPERAMIDE,7863.0,0.08724405443215058,2,2
DIPHENHYDRAMINE,8380.0,0.047016706443914084,0,1
FERRIC GLUCONATE,2413.0,0.060505594695399914,2,3
BUPROPION XL (ONCE DAILY),2889.0,0.03911388023537556,1,0
ARIPIPRAZOLE,2489.0,0.061470470068300524,1,0
CLONAZEPAM,10648.0,0.04423365890308039,1,2
FLUTICASONE-SALMETEROL DISKUS (500/50),3562.0,0.12296462661426165,2,2
SIMVASTATIN,6509.0,0.04178829313258565,1,0
NICOTINE PATCH,7799.0,0.2016925246826516,0,2
POTASSIUM CHLORIDE REPLACEMENT (CRITICAL CARE AND ONCOLOGY),5775.0,0.10251082251082251,0,1
NYSTATIN ORAL SUSPENSION,20023.0,0.15537132297857464,0,1
LIDOCAINE 1%,2499.0,0.2036814725890356,3,0
SCOPOLAMINE PATCH,3391.0,0.0230020642878207,2,3
HALOPERIDOL,10445.0,0.054763044518908566,3,0
CALCIUM GLUCONATE,2497.0,0.010012014417300761,0,1
INFLUENZA VACCINE QUADRIVALENT,7761.0,0.8612292230382682,1,0
AMPICILLIN,3269.0,0.026307739369837872,1,2
QUETIAPINE FUMARATE,15225.0,0.07238095238095238,2,2
ACYCLOVIR,50577.0,0.020819740198113768,1,0
LABETALOL,15950.0,0.0844514106583072,3,0
ACETAMINOPHEN (LIQUID),7529.0,0.08912206136273078,0,1
CIPROFLOXACIN,2373.0,0.04593341761483354,3,1
MICONAZOLE POWDER 2%,4686.0,0.18672641912078533,0,1
DOCUSATE SODIUM (LIQUID),3685.0,0.39104477611940297,0,1
ESCITALOPRAM OXALATE,5907.0,0.047232097511427124,1,0
FLUCONAZOLE,5719.0,0.030949466689980765,1,2
ZINC SULFATE,2476.0,0.06058158319870759,1,2
PHENYLEPHRINE,3247.0,0.09547274407145057,3,0
DIAZEPAM,7599.0,0.026319252533228057,3,3
RIVAROXABAN,2873.0,0.03445875391576749,3,1
DIGOXIN,2460.0,0.03780487804878049,3,0
SPIRONOLACTONE,12127.0,0.04576564690360353,1,0
ALLOPURINOL,15487.0,0.03790275715115904,1,0
AMPICILLIN-SULBACTAM,7067.0,0.027451535304938445,3,1
AZITHROMYCIN,4899.0,0.03449683608899776,3,0
NOREPINEPHRINE,2036.0,0.09037328094302555,2,3
EPOPROSTENOL (VELETRI),3161.0,0.03385004745333755,2,3
LAMOTRIGINE,5516.0,0.03770848440899202,3,0
ZOLPIDEM TARTRATE,2040.0,0.052450980392156864,0,1
OLANZAPINE,7828.0,0.06668369954011241,2,2
FLUOXETINE,6185.0,0.04737267582861762,1,0
LEVETIRACETAM,25568.0,0.026869524405506884,3,0
CEPACOL (SORE THROAT LOZENGE),2697.0,0.027437893956247683,2,3
SIMETHICONE,10847.0,0.06923573338250208,2,3
OLANZAPINE (DISINTEGRATING TABLET),3727.0,0.0649315803595385,2,2
PIPERACILLIN-TAZOBACTAM,16940.0,0.03606847697756789,0,1
MAGNESIUM SULFATE REPLACEMENT (CRITICAL CARE AND ONCOLOGY),9612.0,0.01019558884727424,3,1
ATOVAQUONE SUSPENSION,9331.0,0.059693494802272,1,0
SULFAMETH/TRIMETHOPRIM DS,2986.0,0.029805760214333555,1,0
FOLIC ACID,31225.0,0.04701361088871097,1,0
SODIUM CHLORIDE,3590.0,0.06657381615598885,2,2
METRONIDAZOLE (FLAGYL),2489.0,0.0441944556046605,3,1
GUAIFENESIN ER,4678.0,0.09576742197520308,1,0
CITALOPRAM,7160.0,0.04706703910614525,3,0
MUPIROCIN OINTMENT 2%,3826.0,0.15002613695765812,0,1
HEPARIN DWELL (1000 UNITS/ML),25164.0,0.009219519949133684,3,0
OXYCODONE LIQUID,7124.0,0.02737226277372263,2,3
LACTULOSE,55881.0,0.3526064315241316,2,2
CYCLOSPORINE (NEORAL) MODIFIED,2895.0,0.028670120898100174,1,0
MYCOPHENOLATE MOFETIL,10074.0,0.047349612864800474,1,0
MEROPENEM,14742.0,0.02306335639668973,3,1
ALBUMIN 25% (12.5G / 50ML),2264.0,0.04770318021201413,3,0
GLUTAMINE,5826.0,0.6024716786817713,1,0
PHOSPHORUS,6903.0,0.11299435028248588,2,3
LEVOFLOXACIN,4175.0,0.03688622754491018,1,0
ASCORBIC ACID,8445.0,0.06228537596210776,1,0
ATENOLOL,3155.0,0.09413629160063391,1,2
DOXYCYCLINE HYCLATE,4665.0,0.034941050375133974,1,3
SARNA LOTION,3034.0,0.24192485168094924,0,1
MORPHINE SULFATE IR,2297.0,0.01697866782760122,1,0
CREON 12,7881.0,0.26811318360614134,1,2
DULOXETINE DR,6354.0,0.06484104501101669,1,0
BUMETANIDE,2071.0,0.04732013520038629,0,1
DEXTROSE 50%,3259.0,0.022706351641607857,0,1
CALCITRIOL,3555.0,0.07623066104078763,1,0
HYDROXYZINE,6500.0,0.02646153846153846,2,3
PHENAZOPYRIDINE,3202.0,0.019987507807620236,3,3
INFLUENZA VACCINE HIGH-DOSE QUADRIVALENT,2877.0,0.8762599930483143,1,0
MORPHINE SR (MS CONTIN),4168.0,0.038627639155470246,2,3
CIPROFLOXACIN HCL,8181.0,0.025424764698692093,1,0
MIDODRINE,24865.0,0.07214960788256586,2,2
RIFAXIMIN,22587.0,0.03262938858635498,1,0
SODIUM BICARBONATE,17336.0,0.060971389017074294,1,2
VENLAFAXINE XR,3835.0,0.0485006518904824,1,2
PROCHLORPERAZINE,5130.0,0.03742690058479532,3,3
FILGRASTIM-SNDZ,2496.0,0.04126602564102564,3,1
ENOXAPARIN (TREATMENT),5873.0,0.03320279243997957,0,1
TOPIRAMATE (TOPAMAX),2937.0,0.055839291794347976,0,2
MYCOPHENOLATE SODIUM DR,5543.0,0.013530579108785856,1,0
TACROLIMUS,19019.0,0.02834008097165992,3,1
OCTREOTIDE ACETATE,4780.0,0.04288702928870293,1,0
NEOMYCIN-POLYMYXIN-BACITRACIN,3039.0,0.42020401447844685,3,3
PREDNISOLONE ACETATE 1% OPHTH. SUSP.,4781.0,0.10813637314369379,2,2
POSACONAZOLE DELAYED RELEASE TABLET,4323.0,0.023826046726810084,1,2
CLONIDINE,7588.0,0.07432788613600422,1,2
BUSPIRONE,5492.0,0.04333576110706482,3,0
METHADONE,6503.0,0.03890512071351684,1,2
TIZANIDINE,2466.0,0.047850770478507706,1,0
PROPRANOLOL,2873.0,0.10024364775495997,2,2
CYCLOBENZAPRINE,3694.0,0.021115322144017325,3,0
ISOSORBIDE DINITRATE,6663.0,0.08524688578718295,2,2
ARTIFICIAL TEAR OINTMENT,3171.0,0.20782087669504887,0,1
PHYTONADIONE,3181.0,0.055014146494812954,1,1
EPOETIN ALFA,3967.0,0.03629947063271994,0,1
DAPTOMYCIN,2414.0,0.06255178127589064,1,2
MIRTAZAPINE,8122.0,0.06562423048510219,2,2
DIVALPROEX (DELAYED RELEASE),3318.0,0.054249547920433995,1,0
NICOTINE POLACRILEX,2586.0,0.0019334880123743233,3,0
BENZTROPINE MESYLATE,2397.0,0.06466416353775553,1,2
CETIRIZINE,4240.0,0.08254716981132075,0,2
LACOSAMIDE,3652.0,0.03313253012048193,1,2
ACETYLCYSTEINE 20%,8061.0,0.11226894926187818,0,1
ONDANSETRON ODT,2460.0,0.046747967479674794,2,3
EPOETIN ALFA-EPBX (RETACRIT),4609.0,0.024300282056845302,0,1
CAPHOSOL,13618.0,0.1589073285357615,3,1
CLOTRIMAZOLE,4882.0,0.2677181482998771,1,0
URSODIOL,16705.0,0.039868302903322356,1,2
SODIUM FLUORIDE 1.1% (DENTAL GEL),3367.0,0.17374517374517376,2,3
BRIMONIDINE TARTRATE 0.15% OPHTH.,5027.0,0.09846827133479212,3,3
DORZOLAMIDE 2%/TIMOLOL 0.5% OPHTH.,3718.0,0.0656266810112964,3,1
RISPERIDONE,3844.0,0.09183142559833507,1,2
LORATADINE,3692.0,0.059588299024918745,1,2
ALBUMIN 25%,2016.0,0.05704365079365079,1,0
PRAVASTATIN,4730.0,0.03572938689217759,1,0
FLUTICASONE-SALMETEROL DISKUS (100/50),3050.0,0.14950819672131146,2,2
BUPROPION (SUSTAINED RELEASE),3245.0,0.05177195685670262,2,2
GUAIFENESIN-DEXTROMETHORPHAN,2719.0,0.058109599117322545,2,3
HEPARIN (HEMODIALYSIS),3355.0,0.19970193740685543,1,2
CALCIUM ACETATE,3449.0,0.2942881994781096,1,2
NEPHROCAPS,4865.0,0.11963001027749229,1,0
CIPROFLOXACIN 0.3% OPHTH SOLN,4135.0,0.022732769044740024,3,0
CYCLOPENTOLATE 1%,3188.0,0.008155583437892095,3,1
FINASTERIDE,5940.0,0.06632996632996634,1,0
ERYTHROMYCIN 0.5% OPHTH OINT,4582.0,0.2062418158009603,0,1
MULTIVITAMINS W/MINERALS CHEWABLE,2868.0,0.08193863319386332,3,2
VALSARTAN,2077.0,0.07992296581608088,1,2
ARTIFICIAL TEARS GEL 1%,6698.0,0.20827112570916692,0,1
BUDESONIDE,4940.0,0.08805668016194332,2,2
CARBIDOPA-LEVODOPA (25-100),5535.0,0.05835591689250226,2,2
METFORMIN (GLUCOPHAGE),3928.0,0.06186354378818737,2,2
DRONABINOL,2178.0,0.1258034894398531,2,2
SODIUM CHLORIDE 3% INHALATION SOLN,5603.0,0.23130465821881135,0,1
ALPRAZOLAM,2680.0,0.024626865671641792,3,3
ARTIFICIAL TEARS PRESERV. FREE,4012.0,0.17273180458624127,2,3
EZETIMIBE,2055.0,0.0535279805352798,0,1
MOUTH CARE ORAL RINSE,2222.0,0.30198019801980197,0,1
OXCARBAZEPINE,2154.0,0.04781801299907149,1,2
LINEZOLID,2645.0,0.03780718336483932,0,1
BACLOFEN,6742.0,0.05754968851972708,3,3
OXYBUTYNIN,2911.0,0.04534524218481621,2,2
CEFPODOXIME PROXETIL,2100.0,0.02,3,0
CEPHALEXIN,2893.0,0.028689941237469756,3,1
HYDROCORTISONE NA SUCC.,2558.0,0.03831118060985145,0,1
DOXERCALCIFEROL,2024.0,0.3211462450592885,0,1
NIMODIPINE,2659.0,0.026325686348251224,0,2
VALGANCICLOVIR,2930.0,0.05187713310580205,1,0
NYSTATIN,2578.0,0.19588828549262993,3,3
TIMOLOL MALEATE 0.5%,2725.0,0.08697247706422018,0,1
VALPROIC ACID,2842.0,0.05137227304714989,2,2
DICYCLOMINE,2643.0,0.10669693530079455,0,2
LEUCOVORIN CALCIUM,2756.0,0.3164005805515239,0,1
SILDENAFIL,2297.0,0.024379625598606878,3,0
